"","ATE","ESseATE","bootseATE","IFseATE","NA"
"",-18.7232501074277,57.6217722766868,57.6066218230067,57.9080814209454,"Classic"
"1",-16.0969055798041,57.387803358886,58.9768308298165,57.6104861995229,"WTD"
"2",-18.7529389627848,57.6222025783827,59.257544094409,57.8974165180448,"TMLE"
